Dates;ISK destroyed
Jan 1;168.67b
Jan 2;267.64b
Jan 3;196.53b
Jan 4;158.64b
Jan 5;185.53b
Jan 6;203.50b
Jan 7;210.81b
Jan 8;249.61b
Jan 9;407.11b
Jan 10;256.59b
Jan 11;163.64b
Jan 12;194.02b
Jan 13;168.16b
Jan 14;288.26b
Jan 15;235.97b
Jan 16;274.95b
Jan 17;252.54b
Jan 18;219.60b
Jan 19;322.03b
Jan 20;223.49b
Jan 21;213.46b
Jan 22;222.89b
Jan 23;298.14b
Jan 24;192.01b
Jan 25;155.79b
Jan 26;173.62b
Jan 27;237.34b
Jan 28;199.54b
Jan 29;251.22b
Jan 30;373.05b
Jan 31;185.25b
Feb 1;244.88b
Feb 2;272.99
Feb 3;186.32
Feb 4;259.03
